lon,lat,NOM_COMP,TIPO_COMP,estado_dr,unidad,administrado,subsector,area_m2
-74.80574,-12.94882,Deposito de relaves 5,Depósito,Inoperativo,Julcani,COMPAÑIA DE MINAS BUENAVENTURA S.A.A.,Minería,6174.8629569
-74.38703,-12.5747,Depósito de relaves dr-co-01 (nv. 28s),Depósito,Revegetado,Cobriza,DOE RUN PERU S.R.L. EN LIQUIDACION EN MARCHA,Minería,4439.97729828
-76.59468,-12.68717,Depósito de relaves n° 4,Depósito,Inoperativo,Acumulación Condestable,COMPAñIA MINERA CONDESTABLE S.A.,Minería,312790.14607796
-76.29773,-10.68632,Punto de descarga de relave de la planta de oxid,Depósito,Operación,Cerro de Pasco,EMPRESA ADMINISTRADORA CERRO S.A.C.,Minería,1789924.52405652
-77.02764,-9.87975,Depósito de relaves Chuspic (margen derecha),Depósito,Operación,Huanzala,CIA MINERA SANTA LUISA S A,Minería,634205.32996341
-73.97098,-14.01295,Depósito de relaves cr-7,Depósito,Operación,Catalina Huanca,CATALINA HUANCA SOCIEDAD MINERA S.A.C.,Minería,13467.07428517
-76.08987,-11.68075,Depósito de relaves n° 6.,Depósito,Cerrado,Carahuacra,VOLCAN COMPANIA MINERA S.A.A.,Minería,14725.85321828
-77.27855,-11.4924,Deposito de relave nro. 3,Depósito,Operación,María Teresa,MINERA COLQUISIRI S.A.,Minería,95364.93702491
-76.26182,-11.67793,Deposito de relaves Rosaura,Depósito,Operación,Casapalca 7,EMPRESA MINERA LOS QUENUALES S.A.,Minería,91645.67378331
-75.66067,-12.05162,Depósito de relaves n° 5 b 4,Depósito,Operación,UEA Azulcocha,SIERRA POLI S.A.C.,Minería,1377.32930645
-76.25617,-11.66263,Depósito de relaves Tablachaca,Depósito,Revegetado,Ex Unidad Minera Casapalca,ACTIVOS MINEROS S.A.C.,Minería,63717.10015428
-78.64685,-6.7387,Deposito de relaves nro. 3,Depósito,Operación,Colorada,COMPAÑIA MINERA SAN NICOLAS SOCIEDAD ANONIMA,Minería,30346.6386712
-72.33363,-15.28042,Depósito de relaves r-4a,Depósito,Operación,Orcopampa,COMPAÑIA DE MINAS BUENAVENTURA S.A.A.,Minería,182032.09564423
-69.38384,-14.58341,Depósito de relaves Untuca,Depósito,Operación,Untuca,CORI PUNO S.A.C.,Minería,153453.83078749
-71.58546,-16.59313,Depósito de relaves Linga,Depósito,Operación,Cerro Verde,SOCIEDAD MINERA CERRO VERDE S.A.A.,Minería,4646129.54385601
-70.72594,-15.6286,Depósito de relaves Tacaza,Depósito,Operación,Tacaza,CONSORCIO DE INGENIEROS EJECUTORES MINEROS S.A.,Minería,60334.98857787
-75.20064,-13.20154,Deposito de relaves n°1,Depósito,Inoperativo,Caudalosa Grande y Relíquias,SOCIEDAD MINERA RELIQUIAS S.A.C.,Minería,312304.05152957
-74.80583,-12.94663,Depósito de relaves 3,Depósito,Inoperativo,Julcani,COMPAÑIA DE MINAS BUENAVENTURA S.A.A.,Minería,10298.6862912
-75.15121,-13.19643,Deposito de relaves n° 2,Depósito,Operación,San Genaro,CIA MINERA SANTA INES Y MOROCOCHA S A,Minería,33702.74642202
-76.69243,-10.64117,Relavera n° 3,Depósito,Operación,Uchucchacua,COMPAÑIA DE MINAS BUENAVENTURA S.A.A.,Minería,465039.53258154
-76.73179,-10.44058,Relave nieve Ucro - reforestacion (PAMA nro. 5),Depósito,Operación,Raura,CIA MINERA RAURA S A,Minería,122525.77532622
-77.41869,-8.05575,Deposito de relaves de flotacion.,Depósito,Operación,UEA Retamas,MINERA AURIFERA RETAMAS S.A.,Minería,141373.3631273
-76.21587,-10.57186,Depósito de relaves Atacocha,Depósito,Operación,Atacocha,NEXA RESOURCES ATACOCHA S.A.A.,Minería,250787.44322702
-75.664,-12.05427,Depósito de relaves Azulcocha,Depósito,Operación,UEA Azulcocha,SIERRA POLI S.A.C.,Minería,35727.18175875
-76.29669,-10.79654,Depósito de relaves n° 1,Depósito,Inoperativo,Colquijirca,SOCIEDAD MINERA EL BROCAL S.A.A.,Minería,23347.80239085
-71.97666,-15.47507,Depósito de relave,Depósito,En proceso de construcción,Tambomayo,COMPAÑIA DE MINAS BUENAVENTURA S.A.A.,Minería,161759.07153426
-74.37526,-12.59297,Depósito de relaves Chancadora,Depósito,Operación,Cobriza,DOE RUN PERU S.R.L. EN LIQUIDACION EN MARCHA,Minería,44281.45867722
-73.53411,-15.79717,Depósito de relaves de cianuración dr-2,Depósito,Operación,Calpa,INTIGOLD MINING SOCIEDAD ANONIMA - INTIGOLD MINING S.A.,Minería,10331.22675117
-74.37151,-12.59111,Depósito de relaves antiguo espesador,Depósito,Operación,Cobriza,DOE RUN PERU S.R.L. EN LIQUIDACION EN MARCHA,Minería,25417.73257348
-76.46096,-11.20829,Depósito de relave Alpamarca,Depósito,Operación,Alpamarca,COMPAÑIA MINERA CHUNGAR S.A.C.,Minería,219972.77371942
-74.38606,-12.57124,Depósito de relaves dr-co-02 (El Platanal),Depósito,Operación,Cobriza,DOE RUN PERU S.R.L. EN LIQUIDACION EN MARCHA,Minería,25218.81094864
-76.29258,-10.79933,Cabecera del depósito de relaves integrado n° 7,Depósito,Inoperativo,Colquijirca,SOCIEDAD MINERA EL BROCAL S.A.A.,Minería,343893.26279435
-74.9457,-13.09314,Relavera n° 3-4,Depósito,Operación,Recuperada,MINES & METALS TRADING (PERU) S.A.C. - MMTP,Minería,49979.99463271
-76.29902,-10.80013,Depósito de relaves n° 6,Depósito,Inoperativo,Colquijirca,SOCIEDAD MINERA EL BROCAL S.A.A.,Minería,86469.36686424
-76.29056,-10.77135,Depósito de relaves Huachuacaja,Depósito,Operación,Colquijirca,SOCIEDAD MINERA EL BROCAL S.A.A.,Minería,2706190.94179405
-76.69349,-10.63065,Depósito de relaves n° 2 (Mesapata),Depósito,Operación,Uchucchacua,COMPAÑIA DE MINAS BUENAVENTURA S.A.A.,Minería,60222.48320616
-78.3525,-8.00333,Depósito de lodos San Felipe,Depósito,Operación,Quiruvilca,MINISTERIO DE ENERGIA Y MINAS,Minería,167020.62007931
-71.97001,-15.47817,Depósito de relave filtrado 2 (drf2),Depósito,Operación,Tambomayo,COMPAÑIA DE MINAS BUENAVENTURA S.A.A.,Minería,53868.07381522
-70.78455,-17.44989,Depósito de relave,Depósito,Operación,Toquepala,SOUTHERN PERU COPPER CORPORATION SUCURSA L DEL PERU,Minería,17851861.942884
