lon,lat,nombre
-72.10952,-13.74439,Coror Paco
-74.85247,-12.0499,San Cristobal de Picpis
-74.49056,-12.62035,Nueva Esperanza de Chonta
-69.61394,-16.01753,Janccocollo
-76.29231,-9.74512,Icna
-71.06236,-15.03813,Pirhuayani
-74.80398,-14.1825,Llauta
-76.04097,-12.62243,Allauca
-78.80089,-6.94698,Rodeopampa
-70.62043,-16.34953,Lloque
-71.80825,-13.36551,Sacaca
-77.53342,-9.43099,Pedro Cochachin de Chavin
-76.4352,-12.22026,Matara
-80.07074,-4.91541,Veinticuatro de Junio las Cuevas
-70.32768,-14.30156,Quilca Viluyo
-74.21665,-12.59356,Sayhua Llamanniyocc
-81.08141,-4.8966,San Lucas de Colan
-74.3911,-15.79807,Atiquipa Jaqui y Yauca
-72.72457,-13.90844,Lambrama
-79.03303,-7.67891,Ascope
-74.23873,-12.66184,Ccorerupay Masingana y Huayccohuasi
-71.91103,-16.02567,Taya
-76.64958,-9.66412,Chuquis
-72.26488,-15.32114,Misahuanca
-76.66902,-11.13593,Chauca
-71.57527,-13.79652,Huaraypata
-71.83957,-12.94963,Cristo Salvador
-76.64209,-11.42409,San Miguel
-76.14184,-11.74809,Pomacocha
-76.9188,-9.88665,Santa Rosa de Yaruwilca
-77.61503,-9.39766,San Luis
-69.71816,-15.98187,Juruhuanani
-70.37571,-13.76287,Kanchi
-73.93738,-13.11275,Virgen del Carmen de Ninabamba
-70.19926,-15.09802,Mataro Chico
-71.27572,-14.21557,Puchuri
-76.60206,-11.56039,Lachaqui
-71.97884,-13.80499,Nayhua
-74.6788,-12.68678,Paccho Molinos
-76.3068,-9.58551,Virgen de Asuncion de Roccchacc
-69.74489,-15.9977,Caritamaya
-70.18592,-14.87789,Primer Chimpa Jallapisi
-71.57752,-13.39035,Santa Barbara de Huallhua
-69.8054,-16.09777,Marca Esqueña
-69.84058,-15.85953,Karana
-75.8554,-12.73783,Aiza
-71.47879,-15.0267,Hatun Aira Ccollana
-70.02946,-15.61038,Uquisilla
-71.4545,-13.99697,Cangalli
-69.82484,-16.12664,Aymahui Quenarire
-76.907,-10.5459,Antay
-79.95449,-4.55008,Santa Rosa de Suyo
-71.05924,-14.98207,Pirhuayani
-79.61793,-4.95052,Vilcas
-71.37494,-14.64411,Ccollpamayo
-77.08184,-10.19086,Mahuay
-77.70513,-9.88155,Quimayalluyok
-76.16926,-9.77017,Cochabamba
-77.48263,-9.76173,Manco Capac
-71.34277,-16.3711,La Rinconada
-77.82128,-9.53661,Virgen de Fatima
-72.20054,-13.45387,Markjo
-71.60848,-13.32775,Huaynapata
-75.98946,-11.42765,San Jose Huaypacha
-79.63114,-4.47552,Mostazas
-69.73448,-15.22098,Muñapata Ayllu Jurinsaya Primer Jilata
-79.73084,-6.54636,Manuel Arevalo Cáceres
-76.74425,-11.25181,Ravira
-69.88204,-15.35485,Requena
-71.71684,-14.77193,Achahui
-79.41515,-6.26859,Micaela Bastidas
-76.20367,-12.05624,Rimac
-76.05654,-10.70385,Ninacaca
-74.1143,-12.77684,Huaychao
-79.97553,-4.81337,Naranjo y Molino
-76.84038,-9.76457,Racuay
-72.62477,-15.72965,Rio Blanco
-70.9123,-14.61881,Quishuara
-73.46775,-13.71313,Pampamarca
-72.25688,-13.48757,Yanama de Ayllo Mayo
-71.21571,-14.2273,Pampa - Ansa
-71.84806,-14.42437,Merques
-70.05081,-14.9297,Tiramaza
-80.25288,-4.4584,Romeros
-77.95139,-8.40229,Cabana
-80.33542,-4.58349,Nuestra Señora de las Mercedes
-69.95637,-16.72172,Rosario de Saacata
-69.81162,-16.38456,Santiago de Villacuma
-74.17917,-14.38205,Pampahuasi
-72.20123,-14.46593,Antuyo Llaullimarka
-77.98056,-8.95066,Rosa Maria de Aliso
